##### bftga! (ode)  d4lorenz ::: Sat May  2 00:05:17 2015

#####                b               pm               pr                q                r
#####             2.67                5               10      5.329990234             4500
#
# sk  lk               q                r               x1               x2               x3               x4              wr1              wa1              wr2              wa2              wr3              wa3              wr4              wa4              tau  bftype
   1   6      5.323935547             4500               0     -597.8422235      4632.201027      66.57596571      0.606521226      1.000161393      0.606521226      1.000161393     0.9999999999     0.9999999999    0.03288395981    0.03288395981     0.2196034625  bfnsa 0(D)
   2   6      5.323740234      4500.001953               0     -597.7899506      4632.042124      66.56819804     0.6062546962     0.9996980146     0.6062546962     0.9996980146     0.9999999999     0.9999999999    0.03291153943    0.03291153943     0.2196062332  bfnsa 0(D)
   3  10      5.323935547      4500.005859               0     -597.8274851      4632.159354      66.57370211     0.6064432611      1.000024294     0.6064432611      1.000024294                1                1    0.03289219001    0.03289219001     0.2196041496  bfnsa 0(D)
   4   2      5.323929443      4500.013672               0     -597.8249534       4632.15621      66.57321915     0.6064263211     0.9999925234     0.6064263211     0.9999925234                1                1    0.03289418812    0.03289418812     0.2196041469  bfnsa 0(D)
   5   2       5.32394165      4500.029297               0     -597.8275398      4632.173347      66.57338605      0.606431308      0.999996458      0.606431308      0.999996458                1                1    0.03289417314    0.03289417314     0.2196037309  bfnsa 0(D)
   6   2      5.323953857      4500.060547               0     -597.8327126       4632.20762      66.57371985     0.6064412821      1.000004328     0.6064412821      1.000004328     0.9999999993     0.9999999993    0.03289414319    0.03289414319     0.2196028989  bfnsa 0(D)
   7   2      5.323978271      4500.123047               0     -597.8408725      4632.269475      66.57406378     0.6064501251      1.000000787     0.6064501251      1.000000787                1                1    0.03289522932    0.03289522932     0.2196013523  bfnsa 0(D)
   8   2      5.324039307      4500.248047               0     -597.8571925      4632.393184      66.57475165     0.6064678101     0.9999937085     0.6064678101     0.9999937085                1                1    0.03289740162    0.03289740162     0.2195982591  bfnsa 0(D)
   9   2      5.324161377      4500.498047               0     -597.8920186      4632.647295      66.57645105     0.6065142814     0.9999988311     0.6065142814     0.9999988311                1                1    0.03290059997    0.03290059997     0.2195919558  bfnsa 0(D)
  10   2      5.324393311      4500.998047               0      -597.961673       4633.15552      66.57984981     0.6066072098      1.000009085     0.6066072098      1.000009085     0.9999999999     0.9999999999    0.03290699615    0.03290699615     0.2195793507  bfnsa 0(D)
  11   2      5.324844971      4501.998047               0     -598.0966161      4634.158588      66.58599986     0.6067707927     0.9999910803     0.6067707927     0.9999910803                1                1    0.03292207986    0.03292207986     0.2195543812  bfnsa 0(D)
  12   2      5.325772705      4503.998047               0     -598.3709047      4636.178142      66.59894684     0.6071199313     0.9999937762     0.6071199313     0.9999937762     0.9999999992     0.9999999992    0.03294994808    0.03294994808     0.2195042324  bfnsa 0(D)
  13   2      5.326694336      4505.998047               0     -598.6446854      4638.196061      66.61181225     0.6074659721     0.9999918603     0.6074659721     0.9999918603                1                1    0.03297809473    0.03297809473     0.2194541455  bfnsa 0(D)
  14   2       5.32762207      4507.998047               0     -598.9201483      4640.219043      66.62491982     0.6078200316      1.000004593     0.6078200316      1.000004593     0.9999999998     0.9999999998    0.03300537161    0.03300537161     0.2194040035  bfnsa 0(D)
  15   2      5.328543701      4509.998047               0     -599.1929116      4642.233689      66.63762208     0.6081598746     0.9999934609     0.6081598746     0.9999934609     0.9999999988     0.9999999988    0.03303407595    0.03303407595     0.2193540406  bfnsa 0(D)
  16   2      5.329471436      4511.998047               0     -599.4684547      4644.256751       66.6507284     0.6085133023      1.000006595     0.6085133023      1.000006595     0.9999999998     0.9999999998     0.0330613351     0.0330613351      0.219303964  bfnsa 0(D)
  17   2      5.330393066      4513.998047               0     -599.7412949      4646.271472      66.66342936     0.6088525063     0.9999958785     0.6088525063     0.9999958785      1.000000001      1.000000001    0.03309002328    0.03309002328     0.2192540662  bfnsa 0(D)
  18   2      5.331320801      4515.998047               0     -600.0169181      4648.294614      66.67653444     0.6092053053      1.000009414     0.6092053053      1.000009414     0.9999999991     0.9999999991    0.03311726468    0.03311726468     0.2192040548  bfnsa 0(D)
  19   2      5.332242432      4517.998047               0     -600.2898353       4650.30941       66.6892341     0.6095438735     0.9999991126     0.6095438735     0.9999991126     0.9999999985     0.9999999985    0.03314593668    0.03314593668     0.2191542221  bfnsa 0(D)
  20   2      5.333157959      4519.998047               0     -600.5633398       4652.32592      66.70201407     0.6098849076     0.9999938263     0.6098849076     0.9999938263     0.9999999995     0.9999999995    0.03317431278    0.03317431278     0.2191043926  bfnsa 0(D)
  21   2       5.33407959      4521.998047               0     -600.8385329      4654.347503      66.71503632      0.610233982      1.000003159      0.610233982      1.000003159     0.9999999997     0.9999999997    0.03320181584    0.03320181584     0.2190545079  bfnsa 0(D)
  22   2      5.335007324      4523.998047               0     -601.1132159      4656.367448      66.72797697     0.6105799595      1.000007887     0.6105799595      1.000007887     0.9999999992     0.9999999992    0.03322959834    0.03322959834     0.2190046849  bfnsa 0(D)
  23   2      5.335928955      4525.998047               0     -601.3862864      4658.382393      66.74067404     0.6109172635     0.9999984136     0.6109172635     0.9999984136      1.000000001      1.000000001    0.03325823797    0.03325823797     0.2189549817  bfnsa 0(D)
  24   2      5.336844482      4527.998047               0     -601.6599456      4660.399055      66.75345146       0.61125704     0.9999939489       0.61125704     0.9999939489      1.000000001      1.000000001      0.033286581      0.033286581     0.2189052817  bfnsa 0(D)
  25   2      5.337766113      4529.998047               0     -601.9352974      4662.420796      66.76647121     0.6116048699      1.000004085     0.6116048699      1.000004085     0.9999999983     0.9999999983    0.03331404899    0.03331404899     0.2188555266  bfnsa 0(D)
  26   2      5.338681641      4531.998047               0      -602.207931      4664.434172      66.77908536     0.6119384434     0.9999904347     0.6119384434     0.9999904347     0.9999999984     0.9999999984    0.03334295348    0.03334295348     0.2188059494  bfnsa 0(D)
  27   2      5.339603271      4533.998047               0     -602.4833619      4666.455991      66.79210386     0.6122856546      1.000000971     0.6122856546      1.000000971     0.9999999992     0.9999999992    0.03337040389    0.03337040389     0.2187562588  bfnsa 0(D)
  28   2      5.340531006      4535.998047               0     -602.7582808      4668.476169      66.80504075     0.6126297683       1.00000691     0.6126297683       1.00000691     0.9999999986     0.9999999986    0.03339813459    0.03339813459     0.2187066295  bfnsa 0(D)
  29   2      5.341452637      4537.998047               0     -603.0315813      4670.491339      66.81773399     0.6129651981     0.9999986712     0.6129651981     0.9999986712      1.000000002      1.000000002    0.03342672522    0.03342672522     0.2186571197  bfnsa 0(D)
