##### bfnsn! (ode)  BZlr ::: Sun Nov  3 12:16:58 2019

#####              eps                f                q
#####              0.5     0.7212572531           0.0008
#
# sk  lk             eps                f               x0               x1              wr0              wa0              wr1              wa1              tau  bftype
   1   9              0.5     0.7212572531    -8.060020245                0     0.9999971532     0.9999971532      1.000193313      1.000193313    0.02764285289  bftga 0(D)
   2   9     0.4999999023     0.7212571971    -8.060014142                0     0.9999999915     0.9999999915      1.000550372      1.000550372    0.02764289911  bftga 0(D)
   3   3      0.499999707      0.721257085    -8.060016431                0     0.9999903431     0.9999903431      1.000090679      1.000090679     0.0276428469  bftga 0(D)
   4   7     0.4999993164      0.721256861    -8.060016574                0     0.9999798161     0.9999798161       1.00002578       1.00002578    0.02764284749  bftga 0(D)
   5   5     0.4999985352     0.7212564128    -8.060016001                0      0.999965554      0.999965554      1.000012105      1.000012105    0.02764286363  bftga 0(D)
   6   3     0.4999969727     0.7212555165    -8.060013713                0      0.999970933      0.999970933      1.000013733      1.000013733    0.02764290355  bftga 0(D)
   7   3     0.4999938477      0.721253724    -8.060011424                0     0.9999189934     0.9999189934      1.000011076      1.000011076    0.02764297506  bftga 0(D)
   8   7     0.4999875977     0.7212501389    -8.060004748                0     0.9999643355     0.9999643355      1.000016598      1.000016598    0.02764313755  bftga 0(D)
   9   4     0.4999750977     0.7212429687    -8.059991015                0     0.9999952418     0.9999952418        1.0001446        1.0001446    0.02764346949  bftga 0(D)
  10   5     0.4999500977     0.7212286285    -8.059965075                0     0.9999954549     0.9999954549      1.000164575      1.000164575    0.02764409723  bftga 0(D)
  11   7     0.4999000977     0.7211999486    -8.059914721                0     0.9999976877     0.9999976877      1.000109978      1.000109978    0.02764534164  bftga 0(D)
  12   8     0.4998000977     0.7211425907    -8.059817065                0     0.9993541127     0.9993541127      1.000001078      1.000001078    0.02764775253  bftga 0(D)
  13   8     0.4997000977     0.7210852353    -8.059707202                0     0.9999994272     0.9999994272      1.000526588      1.000526588    0.02765039872  bftga 0(D)
  14   8     0.4996000977     0.7210278824    -8.059609545                0     0.9994807544     0.9994807544      1.000001573      1.000001573    0.02765277662  bftga 0(D)
  15   8     0.4995000977     0.7209705321    -8.059499682                0     0.9999994159     0.9999994159      1.000646541      1.000646541    0.02765542437  bftga 0(D)
  16   8     0.4994000977     0.7209131843    -8.059402026                0     0.9995851485     0.9995851485      1.000000732      1.000000732    0.02765780272  bftga 0(D)
  17   9     0.4993000977      0.720855839    -8.059295214                0     0.9999944693     0.9999944693      1.000376588      1.000376588    0.02766040686  bftga 0(D)
  18   8     0.4992000977     0.7207984963    -8.059197558                0     0.9994792743     0.9994792743        1.0000004        1.0000004    0.02766280815  bftga 0(D)
  19   8     0.4991000977     0.7207411562    -8.059087695                0     0.9999994205     0.9999994205      1.000628738      1.000628738    0.02766545895  bftga 0(D)
  20   8     0.4990000977     0.7206838186    -8.058990039                0     0.9995339842     0.9995339842      1.000000572      1.000000572    0.02766783808  bftga 0(D)
  21   8     0.4989000977     0.7206264835    -8.058880175                0     0.9999996117     0.9999996117      1.000675907      1.000675907    0.02767049041  bftga 0(D)
  22   8     0.4988000977     0.7205691509    -8.058782519                0     0.9995635567     0.9995635567      1.000001555      1.000001555    0.02767286993  bftga 0(D)
  23   8     0.4987000977     0.7205118209    -8.058672656                0     0.9999989194     0.9999989194      1.000699523      1.000699523    0.02767552379  bftga 0(D)
  24   8     0.4986000977     0.7204544935    -8.058574999                0     0.9995700841     0.9995700841         1.000001         1.000001    0.02767790369  bftga 0(D)
  25   8     0.4985000977     0.7203971686    -8.058465136                0     0.9999993631     0.9999993631      1.000697309      1.000697309    0.02768055907  bftga 0(D)
  26   8     0.4984000977     0.7203398462     -8.05836748                0     0.9995508242     0.9995508242      1.000001401      1.000001401    0.02768293933  bftga 0(D)
  27   8     0.4983000977     0.7202825264    -8.058257617                0     0.9999987444     0.9999987444      1.000671214      1.000671214    0.02768559621  bftga 0(D)
  28   8     0.4982000977     0.7202252091     -8.05815996                0     0.9995070383     0.9995070383      1.000001239      1.000001239    0.02768797682  bftga 0(D)
  29   8     0.4981000977     0.7201678943    -8.058050097                0      0.999999112      0.999999112       1.00061893       1.00061893    0.02769063521  bftga 0(D)
  30   8     0.4980000977     0.7201105821    -8.057952441                0      0.999437814      0.999437814       1.00000117       1.00000117    0.02769301614  bftga 0(D)
  31   8     0.4979000977     0.7200532724    -8.057842578                0     0.9999991052     0.9999991052      1.000541563      1.000541563    0.02769567602  bftga 0(D)
  32   8     0.4978000977     0.7199959653    -8.057744921                0     0.9993430654     0.9993430654      1.000001023      1.000001023    0.02769805726  bftga 0(D)
  33   8     0.4977000977     0.7199386607    -8.057635058                0     0.9999989098     0.9999989098      1.000438666      1.000438666    0.02770071863  bftga 0(D)
  34   9     0.4976000977     0.7198813587    -8.057528247                0     0.9999939005     0.9999939005      1.000382447      1.000382447    0.02770324059  bftga 0(D)
  35   8     0.4975000977     0.7198240591     -8.05743059                0     0.9993449627     0.9993449627      1.000000739      1.000000739    0.02770564572  bftga 0(D)
  36   8     0.4974000977     0.7197667622    -8.057320727                0     0.9999993084     0.9999993084      1.000427819      1.000427819    0.02770830933  bftga 0(D)
  37   9     0.4973000977     0.7197094678    -8.057213915                0      0.999992511      0.999992511      1.000354103      1.000354103    0.02771083265  bftga 0(D)
  38   8     0.4972000977     0.7196521759    -8.057116259                0     0.9992894331     0.9992894331      1.000001183      1.000001183    0.02771323839  bftga 0(D)
  39   8     0.4971000977     0.7195948865    -8.057006396                0      0.999998749      0.999998749      1.000360971      1.000360971    0.02771590422  bftga 0(D)
  40   8     0.4970000977     0.7195375997    -8.056896533                0      0.999999231      0.999999231      1.000649528      1.000649528    0.02771847625  bftga 0(D)
  41   8     0.4969000977     0.7194803155    -8.056798876                0      0.999371958      0.999371958      1.000000927      1.000000927    0.02772085893  bftga 0(D)
  42   8     0.4968000977     0.7194230337    -8.056689013                0     0.9999980319     0.9999980319      1.000431832      1.000431832      0.027723527  bftga 0(D)
  43   8     0.4967000977     0.7193657546     -8.05657915                0     0.9999996176     0.9999996176      1.000702231      1.000702231    0.02772610067  bftga 0(D)
  44   8     0.4966000977     0.7193084779    -8.056481494                0     0.9993975488     0.9993975488      1.000001563      1.000001563    0.02772848379  bftga 0(D)
  45   8     0.4965000977     0.7192512038     -8.05637163                0     0.9999985008     0.9999985008      1.000445203      1.000445203    0.02773115408  bftga 0(D)
  46   8     0.4964000977     0.7191939323    -8.056261767                0     0.9999994065     0.9999994065      1.000698945      1.000698945    0.02773372937  bftga 0(D)
  47   8     0.4963000977     0.7191366633    -8.056164111                0     0.9993682438     0.9993682438       1.00000017       1.00000017    0.02773611289  bftga 0(D)
  48   8     0.4962000977     0.7190793968    -8.056054248                0     0.9999982464     0.9999982464      1.000402113      1.000402113    0.02773878539  bftga 0(D)
  49   8     0.4961000977     0.7190221329    -8.055944384                0     0.9999987405     0.9999987405      1.000638643      1.000638643    0.02774136226  bftga 0(D)
  50   8     0.4960000977     0.7189648715    -8.055846728                0     0.9992792405     0.9992792405       1.00000067       1.00000067    0.02774374615  bftga 0(D)
  51   8     0.4959000977     0.7189076127    -8.055736865                0     0.9999993822     0.9999993822      1.000299558      1.000299558    0.02774642083  bftga 0(D)
  52   8     0.4958000977     0.7188503564    -8.055627001                0     0.9999989391     0.9999989391      1.000519111      1.000519111    0.02774899927  bftga 0(D)
  53   8     0.4957000977     0.7187931026    -8.055517138                0     0.9999990116     0.9999990116      1.000732677      1.000732677    0.02775157828  bftga 0(D)
  54   8     0.4956000977     0.7187358514    -8.055419482                0     0.9993364767     0.9993364767      1.000000961      1.000000961    0.02775396268  bftga 0(D)
  55   8     0.4955000977     0.7186786027    -8.055309619                0     0.9999985242     0.9999985242      1.000340928      1.000340928    0.02775664028  bftga 0(D)
  56   8     0.4954000977     0.7186213566    -8.055199755                0      0.999998599      0.999998599      1.000536188      1.000536188    0.02775922083  bftga 0(D)
  57   8     0.4953000977      0.718564113    -8.055089892                0     0.9999993975     0.9999993975      1.000725125      1.000725125    0.02776180194  bftga 0(D)
  58   8     0.4952000977      0.718506872    -8.054992236                0     0.9992920765     0.9992920765       1.00000081       1.00000081    0.02776418676  bftga 0(D)
  59   8     0.4951000977     0.7184496335    -8.054882373                0     0.9999985019     0.9999985019      1.000278908      1.000278908    0.02776686726  bftga 0(D)
  60   8     0.4950000977     0.7183923975    -8.054772509                0     0.9999977484     0.9999977484      1.000450701      1.000450701    0.02776944986  bftga 0(D)
  61   8     0.4949000977     0.7183351641    -8.054662646                0     0.9999992686     0.9999992686      1.000614491      1.000614491    0.02777203302  bftga 0(D)
  62   9     0.4948000977     0.7182779332    -8.054555834                0     0.9999920647     0.9999920647      1.000373943      1.000373943    0.02777456712  bftga 0(D)
  63   8     0.4947000977     0.7182207049    -8.054445971                0      0.999998773      0.999998773      1.000724191      1.000724191    0.02777717613  bftga 0(D)
  64   9     0.4946000977     0.7181634791    -8.054345263                0      0.999635757      0.999635757      1.000007687      1.000007687    0.02777961139  bftga 0(D)
  65   8     0.4945000977     0.7181062558      -8.0542354                0     0.9999991885     0.9999991885      1.000398054      1.000398054     0.0277822713  bftga 0(D)
  66   8     0.4944000977     0.7180490351    -8.054125537                0       0.99999895       0.99999895       1.00053276       1.00053276    0.02778485699  bftga 0(D)
  67   8     0.4943000977      0.717991817    -8.054015673                0     0.9999982795     0.9999982795      1.000661979      1.000661979    0.02778744322  bftga 0(D)
  68   9     0.4942000977     0.7179346014    -8.053908862                0     0.9999932076     0.9999932076      1.000377212      1.000377212    0.02778997974  bftga 0(D)
  69   8     0.4941000977     0.7178773883    -8.053798998                0       1.00000012       1.00000012      1.000692653      1.000692653     0.0277925921  bftga 0(D)
  70   9     0.4940000977     0.7178201778    -8.053692187                0     0.9999938276     0.9999938276      1.000394942      1.000394942    0.02779512942  bftga 0(D)
