##### bfnsn! (ode)  BZlr ::: Sun Nov  3 14:34:43 2019

#####              eps                f                q
#####              0.5     0.7212572531           0.0008
#
# sk  lk             eps                f               x0               x1              wr0              wa0              wr1              wa1              tau  bftype
   1   9              0.5     0.7212572531    -8.060020245                0     0.9999971532     0.9999971532      1.000193313      1.000193313    0.02764285289  bftga 0(D)
   2   9     0.5000000977     0.7212573091    -8.060014142                0     0.9999987286     0.9999987286      1.000563623      1.000563623    0.02764289568  bftga 0(D)
   3   3      0.500000293     0.7212574211    -8.060017956                0     0.9999231907     0.9999231907       1.00001086       1.00001086    0.02764281436  bftga 0(D)
   4   8     0.5000006836     0.7212576452    -8.060018028                0     0.9999772114     0.9999772114      1.000023682      1.000023682    0.02764281273  bftga 0(D)
   5   4     0.5000014648     0.7212580933    -8.060019172                0     0.9999746467     0.9999746467       1.00002703       1.00002703    0.02764279329  bftga 0(D)
   6   4     0.5000030273     0.7212589896    -8.060020317                0     0.9999881435     0.9999881435       1.00004082       1.00004082    0.02764275754  bftga 0(D)
   7   3     0.5000061523     0.7212607822    -8.060024131                0     0.9999203598     0.9999203598      1.000003127      1.000003127    0.02764266656  bftga 0(D)
   8   6     0.5000124023     0.7212643673    -8.060029949                0       0.99997671       0.99997671      1.000021595      1.000021595    0.02764251938  bftga 0(D)
   9   4     0.5000249023     0.7212715376    -8.060043682                0     0.9998504765     0.9998504765      1.000005957      1.000005957    0.02764218956  bftga 0(D)
  10   5     0.5000499023     0.7212858783    -8.060069622                0     0.9998301037     0.9998301037      1.000005187      1.000005187    0.02764156193  bftga 0(D)
  11   7     0.5000999023     0.7213145601    -8.060119976                0     0.9998772287     0.9998772287      1.000005971      1.000005971    0.02764031789  bftga 0(D)
  12   8     0.5001999023     0.7213719256    -8.060217632                0     0.9999994953     0.9999994953       1.00061234       1.00061234    0.02763790768  bftga 0(D)
  13   8     0.5002999023     0.7214292937    -8.060327495                0     0.9994222046     0.9994222046       1.00000015       1.00000015    0.02763526532  bftga 0(D)
  14   8     0.5003999023     0.7214866644    -8.060425151                0     0.9999977374     0.9999977374      1.000411175      1.000411175    0.02763288895  bftga 0(D)
  15   8     0.5004999023     0.7215440376    -8.060522808                0     0.9999993878     0.9999993878      1.000661756      1.000661756    0.02763042441  bftga 0(D)
  16   8     0.5005999023     0.7216014133    -8.060632671                0     0.9994602764     0.9994602764      1.000000348      1.000000348    0.02762778437  bftga 0(D)
  17   8     0.5006999023     0.7216587916    -8.060730327                0     0.9999994249     0.9999994249      1.000423497      1.000423497    0.02762540866  bftga 0(D)
  18   8     0.5007999023     0.7217161724    -8.060827984                0     0.9999994267     0.9999994267      1.000656005      1.000656005    0.02762294535  bftga 0(D)
  19   8     0.5008999023     0.7217735557    -8.060937847                0     0.9994433105     0.9994433105      1.000000806      1.000000806    0.02762030763  bftga 0(D)
  20   8     0.5009999023     0.7218309416    -8.061035503                0     0.9999981883     0.9999981883      1.000384275      1.000384275    0.02761793262  bftga 0(D)
  21   8     0.5010999023       0.72188833    -8.061133159                0     0.9999991217     0.9999991217       1.00059641       1.00059641    0.02761547057  bftga 0(D)
  22   8     0.5011999023      0.721945721    -8.061243023                0     0.9993730993     0.9993730993      1.000000559      1.000000559     0.0276128352  bftga 0(D)
  23   8     0.5012999023     0.7220031145    -8.061340679                0     0.9999987485     0.9999987485       1.00028961       1.00028961    0.02761046093  bftga 0(D)
  24   8     0.5013999023     0.7220605105    -8.061438335                0     0.9999991817     0.9999991817      1.000483086      1.000483086    0.02760800016  bftga 0(D)
  25   8     0.5014999023     0.7221179091    -8.061535991                0     0.9999992019     0.9999992019      1.000670179      1.000670179    0.02760553976  bftga 0(D)
  26   8     0.5015999023     0.7221753102    -8.061645855                0     0.9994325774     0.9994325774      1.000000668      1.000000668    0.02760290751  bftga 0(D)
  27   8     0.5016999023     0.7222327139    -8.061743511                0     0.9999989443     0.9999989443      1.000317509      1.000317509    0.02760053419  bftga 0(D)
  28   8     0.5017999023     0.7222901201    -8.061841167                0     0.9999994322     0.9999994322      1.000485348      1.000485348    0.02759807512  bftga 0(D)
  29   8     0.5018999023     0.7223475289    -8.061938823                0     0.9999996176     0.9999996176      1.000646819      1.000646819    0.02759561643  bftga 0(D)
  30   8     0.5019999023     0.7224049401    -8.062048687                0     0.9993958197     0.9993958197       1.00000064       1.00000064    0.02759298732  bftga 0(D)
  31   8     0.5020999023      0.722462354    -8.062146343                0     0.9999980502     0.9999980502      1.000250661      1.000250661    0.02759061502  bftga 0(D)
  32   8     0.5021999023     0.7225197703    -8.062243999                0     0.9999979896     0.9999979896       1.00039396       1.00039396    0.02758815769  bftga 0(D)
  33   8     0.5022999023     0.7225771892    -8.062341655                0     0.9999990382     0.9999990382      1.000529604      1.000529604    0.02758570076  bftga 0(D)
  34   8     0.5023999023     0.7226346107    -8.062439312                0     0.9999994611     0.9999994611       1.00065936       1.00065936    0.02758324423  bftga 0(D)
  35   8     0.5024999023     0.7226920347    -8.062549175                0     0.9993910678     0.9993910678      1.000000649      1.000000649    0.02758061906  bftga 0(D)
  36   8     0.5025999023     0.7227494612    -8.062646831                0     0.9999981449     0.9999981449      1.000207549      1.000207549    0.02757824807  bftga 0(D)
  37   8     0.5026999023     0.7228068903    -8.062744487                0     0.9999981183     0.9999981183      1.000319791      1.000319791    0.02757579295  bftga 0(D)
